Keuwl Accelerometer Data File
2023-11-02 20:13:15

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.268151,10.022128,1.781286,10.182728,79.925293,91.532631
0.0050047,-0.438139,10.067618,1.527501,10.192260,81.380684,92.491920
0.0100096,-0.696713,9.955091,1.297657,10.063456,82.591225,94.003349
0.0150145,-0.696713,9.775525,1.197101,9.873163,83.035866,94.076645
0.0200195,-0.533907,9.598354,1.316811,9.702961,82.200188,93.183784
0.0250243,-0.270545,9.466674,1.498770,9.588401,81.007179,91.636993
0.0300292,-0.028730,9.406818,1.817199,9.580776,79.066391,90.174995
0.0350035,0.069432,9.311050,2.090138,9.543016,77.348358,89.572754
0.0400084,0.057461,9.258378,2.300828,9.540161,76.044228,89.644409
0.0450133,-0.098162,9.311050,2.494758,9.639975,75.001541,90.604019
0.0500182,-0.454898,9.442732,2.607286,9.806633,74.581367,92.758057
0.0550231,-0.746991,9.622296,2.667141,10.013002,74.551758,94.439041
0.0600280,-1.029507,9.710882,2.664747,10.122351,74.736786,96.051651
0.0650022,-1.292869,9.785102,2.669535,10.224781,74.865562,97.526680
0.0700072,-1.438915,9.799467,2.738967,10.276282,74.541946,98.353394
0.0750121,-1.594538,9.777920,2.849100,10.308619,73.955711,99.262001
0.0800170,-1.570596,9.720459,2.930503,10.273360,73.426048,99.178322
0.0850218,-1.486799,9.674969,2.973598,10.230243,73.102081,98.736572
0.0900268,-1.357512,9.622296,3.016694,10.175061,72.753746,98.030281
0.0950010,-1.187524,9.591172,3.019088,10.125004,72.651588,97.058113
0.1000059,-0.998382,9.548077,2.999935,10.057940,72.646553,95.969368
0.1050108,-0.842759,9.531317,2.964022,10.017069,72.788658,95.052948
0.1100158,-0.756568,9.483433,2.968810,9.966028,72.668900,94.561272
0.1150207,-0.696713,9.483433,2.999935,9.970984,72.490349,94.201759
0.1200255,-0.651223,9.454702,3.014300,9.944922,72.356148,93.940208
0.1249998,-0.596156,9.452309,3.004723,9.936292,72.398262,93.608856
0.1300047,-0.557849,9.452309,2.966416,9.922547,72.605026,93.377518
0.1350096,-0.577003,9.459491,2.983175,9.935504,72.527138,93.490555
0.1400145,-0.603339,9.478644,3.004723,9.961781,72.444763,93.642105
0.1450195,-0.675165,9.476251,3.033453,9.972814,72.291626,94.075333
0.1500243,-0.739808,9.459491,3.045424,9.965134,72.205254,94.471886
0.1550292,-0.790087,9.397242,3.055001,9.912891,72.050133,94.805923
0.1600035,-0.787692,9.375694,3.009511,9.878323,72.262405,94.802383
0.1650084,-0.756568,9.363723,2.940080,9.843565,72.621643,94.619339
0.1700133,-0.735020,9.392453,2.863465,9.846719,73.093903,94.474648
0.1750182,-0.708684,9.421184,2.784456,9.849575,73.578697,94.301819
0.1800231,-0.682347,9.500193,2.686294,9.896234,74.249664,94.108192
0.1850280,-0.620098,9.576807,2.614468,9.946617,74.760757,93.704727
0.1900022,-0.567426,9.610326,2.545036,9.957788,75.191895,93.379013
0.1950071,-0.517148,9.612720,2.449268,9.933314,75.725296,93.079445
0.2000121,-0.466869,9.610326,2.358289,9.906455,76.228180,92.781242
0.2050169,-0.411803,9.595961,2.336741,9.884958,76.326218,92.457291
0.2100218,-0.399832,9.581595,2.339135,9.871088,76.292320,92.389519
0.2150268,-0.411803,9.550470,2.363077,9.847091,76.114807,92.468987
0.2200010,-0.435745,9.493010,2.351106,9.789525,76.103691,92.628128
0.2250059,-0.488417,9.449914,2.303222,9.738801,76.319969,92.958687
0.2300108,-0.605733,9.399636,2.219425,9.677083,76.741280,93.687164
0.2350158,-0.679953,9.394848,2.161964,9.664347,77.073250,94.139572
0.2400206,-0.756568,9.375694,2.106898,9.639246,77.374657,94.613464
0.2450255,-0.869095,9.375694,2.059013,9.638387,77.665047,95.295990
0.2499998,-0.928950,9.394848,1.982399,9.646555,78.141037,95.646973
0.2550047,-0.986411,9.421184,1.889025,9.659199,78.722122,95.977173
0.2600096,-0.988805,9.461885,1.843535,9.690389,79.032997,95.965988
0.2650145,-0.984017,9.488221,1.831564,9.713355,79.131157,95.920937
0.2700194,-1.003170,9.526528,1.826776,9.751831,79.203201,96.011253
0.2750243,-0.976834,9.528923,1.848324,9.755556,79.078514,95.853088
0.2800292,-0.936133,9.519346,1.900996,9.752337,78.759529,95.616409
0.2850035,-0.873884,9.526528,1.980005,9.769280,78.306473,95.241165
0.2900084,-0.768539,9.545682,2.049437,9.793410,77.920609,94.603050
0.2950133,-0.701501,9.543288,2.126051,9.802375,77.473480,94.204094
0.3000181,-0.644040,9.538500,2.217031,9.813918,76.943794,93.862755
0.3050231,-0.574608,9.540894,2.284068,9.827298,76.560364,93.446526
0.3100280,-0.507571,9.526528,2.341529,9.823194,76.209793,93.049820
0.3150022,-0.442927,9.560047,2.391808,9.864655,75.968086,92.652679
0.3200071,-0.339977,9.569624,2.458845,9.886314,75.598694,92.034668
0.3250121,-0.277727,9.598354,2.504335,9.923570,75.382652,91.657387
0.3300169,-0.227449,9.588778,2.547431,9.924001,75.126022,91.358818
0.3350219,-0.208296,9.607931,2.576161,9.949489,74.993774,91.241951
0.3400268,-0.186748,9.600749,2.621651,9.954010,74.729500,91.114342
0.3450012,-0.213084,9.583989,2.636016,9.942174,74.625038,91.273666
0.3500059,-0.258574,9.586384,2.631228,9.944294,74.657005,91.545067
0.3550108,-0.292093,9.569624,2.600103,9.920865,74.806229,91.748291
0.3600158,-0.366313,9.586384,2.580950,9.934498,74.942001,92.188309
0.3650206,-0.447716,9.562442,2.549825,9.906682,75.085083,92.680641
0.3700255,-0.505177,9.512163,2.545036,9.859699,75.041153,93.040039
0.3749998,-0.550666,9.471462,2.535460,9.820407,75.037743,93.327408
0.3800047,-0.600945,9.478644,2.537854,9.830897,75.039635,93.627686
0.3850096,-0.634463,9.449914,2.518700,9.800370,75.107841,93.841049
0.3900145,-0.629675,9.457097,2.516306,9.806374,75.131645,93.809258
0.3950194,-0.660800,9.469068,2.523489,9.821807,75.112198,93.991920
0.4000243,-0.624887,9.509769,2.494758,9.851397,75.330734,93.759499
0.4050292,-0.627281,9.545682,2.523489,9.893509,75.222557,93.759705
0.4100035,-0.629675,9.562442,2.566584,9.920895,75.006767,93.767418
0.4150084,-0.617704,9.588778,2.609680,9.956738,74.805183,93.685875
0.4200133,-0.586579,9.581595,2.659958,9.961246,74.512352,93.503242
0.4250182,-0.550666,9.564836,2.722207,9.959906,74.138283,93.294991
0.4300231,-0.514753,9.567230,2.777274,9.975475,73.834656,93.079758
0.4350280,-0.462081,9.564836,2.815581,9.981338,73.615341,92.765831
0.4400022,-0.464475,9.550470,2.889802,9.988903,73.183876,92.784317
0.4450071,-0.428562,9.552865,2.942474,10.004951,72.896317,92.568687
0.4500121,-0.430956,9.564836,2.999935,10.033514,72.602966,92.579796
0.4550169,-0.416591,9.588778,3.045424,10.069400,72.395576,92.487694
0.4600219,-0.407014,9.576807,3.086126,10.070008,72.153549,92.433609
0.4650268,-0.392649,9.581595,3.138798,10.090253,71.876137,92.346642
0.4700012,-0.351948,9.540894,3.174711,10.061377,71.606918,92.112587
0.4750059,-0.318429,9.536105,3.136404,10.043691,71.803551,91.912506
0.4800108,-0.294487,9.526528,3.093309,10.020480,72.019180,91.770576
0.4850157,-0.272939,9.533711,3.055001,10.014948,72.239182,91.639862
0.4900206,-0.280122,9.569624,2.997540,10.032020,72.614616,91.676682
0.4950255,-0.325611,9.572019,2.949656,10.021479,72.882423,91.948280
0.4999998,-0.373495,9.634268,2.887407,10.064578,73.328262,92.220093
0.5050047,-0.418985,9.665392,2.849100,10.085273,73.590469,92.482162
0.5100096,-0.466869,9.670180,2.789245,10.075229,73.928192,92.764053
0.5150145,-0.486023,9.653421,2.729390,10.043622,74.231361,92.882248
0.5200194,-0.500388,9.679757,2.636016,10.044733,74.785835,92.959229
0.5250243,-0.493206,9.674969,2.576161,10.024214,75.108238,92.918266
0.5300292,-0.495600,9.665392,2.540248,10.005912,75.293083,92.935310
0.5350034,-0.476446,9.655815,2.518700,9.990275,75.397285,92.824852
0.5400084,-0.471658,9.648633,2.518700,9.983107,75.386566,92.798584
0.5450133,-0.459687,9.607931,2.499547,9.938379,75.433441,92.739197
0.5500183,-0.459687,9.588778,2.499547,9.919864,75.405655,92.744659
0.5550231,-0.464475,9.540894,2.468422,9.865976,75.510925,92.787102
0.5600280,-0.450110,9.540894,2.422932,9.854027,75.766014,92.701035
0.5650022,-0.450110,9.516952,2.372654,9.818577,76.016083,92.707817
0.5700071,-0.421380,9.500193,2.334347,9.791854,76.208061,92.539680
0.5750121,-0.445322,9.509769,2.245761,9.781486,76.726883,92.681076
0.5800169,-0.454898,9.502586,2.188300,9.761903,77.046074,92.740715
0.5850218,-0.428562,9.538500,2.126051,9.781960,77.446915,92.572556
0.5900267,-0.411803,9.562442,2.099715,9.798912,77.626686,92.465897
0.5950012,-0.371101,9.603143,2.068590,9.830419,77.852592,92.213020
0.6000059,-0.318429,9.617508,2.070984,9.843111,77.854240,91.896332
0.6050108,-0.272939,9.624691,2.090138,9.852809,77.752426,91.624367
0.6100157,-0.239420,9.583989,2.094927,9.813199,77.673599,91.431023
0.6150206,-0.215478,9.598354,2.099715,9.827698,77.663498,91.286041
0.6200255,-0.227449,9.593566,2.116474,9.826887,77.562424,91.358147
0.6250000,-0.248997,9.574412,2.126051,9.810783,77.484390,91.489723
0.6300046,-0.299275,9.574412,2.130840,9.813227,77.458923,91.790359
0.6350096,-0.351948,9.581595,2.126051,9.820944,77.497551,92.103622
0.6400145,-0.397437,9.569624,2.145205,9.815170,77.375526,92.378197
0.6450194,-0.450110,9.579201,2.173935,9.833091,77.227310,92.690247
0.6500243,-0.476446,9.581595,2.200271,9.842518,77.082512,92.846695
0.6550292,-0.541090,9.588778,2.195483,9.851781,77.123436,93.229744
0.6600034,-0.538695,9.627085,2.212242,9.892673,77.078003,93.202713
0.6650084,-0.521936,9.641450,2.224213,9.908436,77.027893,93.098656
0.6700133,-0.507571,9.622296,2.236184,9.891750,76.934456,93.019524
0.6750182,-0.471658,9.600749,2.245761,9.871184,76.849670,92.812515
0.6800231,-0.440533,9.581595,2.245761,9.851115,76.822403,92.632431
0.6850280,-0.402226,9.576807,2.238579,9.843183,76.854523,92.405006
0.6900022,-0.361524,9.564836,2.238579,9.829954,76.836517,92.164589
0.6950071,-0.284910,9.540894,2.233790,9.803042,76.828476,91.710457
0.7000121,-0.237026,9.579201,2.231396,9.838516,76.891129,91.417427
0.7050170,-0.220267,9.579201,2.240973,9.840302,76.836296,91.317238
0.7100218,-0.217872,9.591172,2.257732,9.855730,76.757195,91.301300
0.7150267,-0.246603,9.636662,2.274492,9.904512,76.724007,91.465881
0.7200012,-0.313640,9.639056,2.284068,9.910941,76.675888,91.863663
0.7250059,-0.339977,9.624691,2.308010,9.903392,76.523148,92.023041
0.7300109,-0.375890,9.636662,2.327164,9.920798,76.433472,92.233757
0.7350157,-0.395043,9.660604,2.358289,9.952127,76.292618,92.341644
0.7400206,-0.416591,9.674969,2.370260,9.969790,76.246559,92.465553
0.7450255,-0.392649,9.658210,2.389413,9.957132,76.115227,92.328049
0.7500000,-0.409408,9.653421,2.396596,9.954890,76.069450,92.428497
0.7550046,-0.387861,9.612720,2.398990,9.915138,75.998207,92.310555
0.7600096,-0.399832,9.583989,2.406173,9.889508,75.918274,92.388924
0.7650145,-0.359130,9.562442,2.396596,9.864732,75.939529,92.150810
0.7700194,-0.349553,9.540894,2.384625,9.840593,75.976173,92.098228
0.7750243,-0.383072,9.533711,2.391808,9.836622,75.927269,92.300957
0.7800292,-0.395043,9.519346,2.408567,9.827269,75.812836,92.376350
0.7850034,-0.416591,9.543288,2.413355,9.852522,75.821243,92.499535
0.7900084,-0.486023,9.543288,2.427721,9.859229,75.744972,92.915459
0.7950133,-0.500388,9.550470,2.444480,9.871037,75.661995,92.999214
0.8000182,-0.500388,9.569624,2.442086,9.888978,75.702881,92.993225
0.8050231,-0.497994,9.595961,2.425326,9.910231,75.834145,92.970772
0.8100280,-0.464475,9.619903,2.398990,9.925392,76.012970,92.764252
0.8150022,-0.433351,9.660604,2.370260,9.956565,76.227928,92.568420
0.8200071,-0.390255,9.651027,2.355895,9.942075,76.292694,92.315582
0.8250121,-0.359130,9.672575,2.317587,9.952833,76.534668,92.126343
0.8300170,-0.275333,9.667787,2.281674,9.937200,76.725922,91.631310
0.8350218,-0.189142,9.684546,2.238579,9.941701,76.987091,91.118858
0.8400267,-0.124498,9.677363,2.231396,9.932069,77.016777,90.737068
0.8450010,-0.095768,9.665392,2.224213,9.918472,77.041245,90.567688
0.8500059,-0.093374,9.667787,2.224213,9.920783,77.044319,90.553360
0.8550109,-0.112527,9.646238,2.219425,9.898911,77.043633,90.668350
0.8600157,-0.158017,9.634268,2.193089,9.881989,77.177711,90.939659
0.8650206,-0.201113,9.622296,2.178724,9.867921,77.244652,91.197350
0.8700255,-0.280122,9.615114,2.188300,9.864965,77.183723,91.668755
0.8750000,-0.347159,9.600749,2.176329,9.850448,77.235924,92.070892
0.8800046,-0.387861,9.588778,2.164358,9.837659,77.290527,92.316322
0.8850096,-0.433351,9.605537,2.164358,9.855891,77.314430,92.583130
0.8900145,-0.474052,9.591172,2.135628,9.837490,77.461784,92.829590
0.8950194,-0.512359,9.581595,2.133234,9.829556,77.465797,93.060875
0.9000243,-0.536301,9.567230,2.128445,9.815793,77.476570,93.208420
0.9050292,-0.541090,9.564836,2.152387,9.818942,77.337502,93.237816
0.9100034,-0.567426,9.562442,2.178724,9.823905,77.186531,93.395889
0.9150084,-0.569820,9.562442,2.183512,9.825106,77.159485,93.410187
0.9200133,-0.569820,9.579201,2.214637,9.848371,77.004570,93.404236
0.9250181,-0.519542,9.574412,2.274492,9.854572,76.655487,93.106026
0.9300231,-0.512359,9.586384,2.296039,9.870819,76.549286,93.059349
0.9350280,-0.457293,9.615114,2.319981,9.901608,76.449432,92.722923
0.9400022,-0.414197,9.610326,2.334347,9.898439,76.359459,92.467873
0.9450071,-0.344765,9.605537,2.324770,9.888871,76.403099,92.055595
0.9500121,-0.316035,9.598354,2.322376,9.880369,76.405464,91.885834
0.9550170,-0.306458,9.574412,2.298434,9.851197,76.507675,91.833298
0.9600218,-0.244209,9.586384,2.315193,9.865014,76.426811,91.459267
0.9650267,-0.248997,9.557653,2.293645,9.832169,76.509766,91.492340
0.9700010,-0.229843,9.574412,2.291251,9.847438,76.545395,91.375175
0.9750059,-0.241814,9.562442,2.303222,9.838881,76.461784,91.448586
0.9800109,-0.253785,9.581595,2.255338,9.846722,76.759171,91.517227
0.9850157,-0.277727,9.593566,2.236184,9.854651,76.884392,91.658211
0.9900206,-0.280122,9.639056,2.236184,9.899010,76.944206,91.664612
0.9950255,-0.277727,9.686940,2.193089,9.935974,77.248550,91.642235
1.0000000,-0.258574,9.677363,2.183512,9.924008,77.289604,91.530548
