Keuwl Accelerometer Data File
2023-10-10 15:24:46

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.173159,2.370260,9.519346,9.879898,15.526549,63.666916
0.0199892,0.313640,1.786075,9.859323,10.024703,10.421809,80.040222
0.0400086,-0.141258,1.333570,10.599131,10.683629,7.210881,96.046486
0.0599975,0.275333,1.364695,10.735600,10.825494,7.388889,78.593445
0.0799867,0.545878,1.426944,9.866506,9.984092,8.802143,69.065636
0.1000061,0.811634,1.613692,9.351752,9.524601,10.932162,63.299095
0.1199953,0.622492,1.654393,9.083601,9.253989,11.011883,69.380371
0.1399842,0.158017,1.671153,9.373300,9.522419,10.153113,84.598404
0.1600037,0.275333,1.556231,9.351752,9.484352,9.592082,79.966881
0.1799926,0.454898,1.628057,9.045294,9.201894,10.585541,74.389008
0.2000122,0.555455,1.654393,8.889671,9.059349,11.106614,71.440765
0.2200012,0.620098,1.525106,9.550470,9.691334,9.780764,67.873665
0.2399904,0.399832,1.596933,10.067618,10.201324,9.286646,75.943542
0.2600098,0.220267,1.786075,9.909601,10.071682,10.292870,82.969528
0.2799988,0.213084,1.678335,9.667787,9.814698,9.925907,82.764359
0.2999879,0.050278,1.695095,10.120291,10.261392,9.512584,88.301048
0.3200074,0.294487,1.419762,10.290278,10.391933,8.020642,78.281883
0.3399963,0.354342,1.455675,10.000581,10.112179,8.520072,76.319077
0.3599855,0.196325,1.532289,9.607931,9.731331,9.134155,82.698753
0.3800049,0.191536,1.448492,9.485827,9.597694,8.756453,82.467400
0.3999941,-0.162806,1.606509,9.742006,9.874921,9.411206,95.786674
0.4199830,-0.071826,1.728614,9.825804,9.976957,9.986134,92.379341
0.4400024,-0.155623,1.855506,9.835381,10.010087,10.720290,94.794235
0.4599914,-0.584185,1.999158,9.739613,9.959817,12.070583,106.289185
0.4800110,-0.751779,1.867477,9.646238,9.854063,11.788131,111.927948
0.5000002,-0.928950,1.898602,9.557653,9.788584,12.470270,116.071632
0.5199891,-1.108515,1.991976,9.720459,9.984192,13.198483,119.095520
0.5400086,-1.094150,2.042254,9.974244,10.239800,13.077156,118.180458
0.5599976,-1.247379,1.984793,9.916783,10.190091,13.299958,122.148048
0.5799867,-1.137246,1.929727,9.466674,9.728057,13.311917,120.512123
0.6000061,-0.998382,2.025495,8.987833,9.267176,14.103592,116.239052
0.6199953,-1.079785,2.142811,8.896853,9.214747,15.093626,116.744019
0.6399843,-0.931344,2.190695,8.942344,9.253758,14.906430,113.032120
0.6600037,-0.955287,2.183512,8.978256,9.289207,14.866656,113.629379
0.6799926,-1.065420,2.193089,9.150639,9.469896,14.919819,115.910851
0.7000122,-1.000776,2.090138,9.169792,9.458082,14.182741,115.585503
0.7200012,-0.749385,2.116474,9.299079,9.566291,13.574060,109.497650
0.7399904,-0.818817,2.343924,9.447520,9.768320,14.724501,109.256149
0.7600098,-1.137246,2.346318,9.751583,10.094152,14.969690,115.859184
0.7799988,-1.118092,2.264915,9.368511,9.703039,15.088838,116.273598
0.7999879,-1.000776,2.298434,9.145850,9.483191,15.328191,113.529114
0.8200073,-1.098939,2.473210,9.370906,9.753886,16.108992,113.957344
0.8399963,-1.424550,2.676718,9.629479,10.095594,17.478470,118.021927
0.8599855,-1.496376,2.638410,9.660604,10.125592,17.431095,119.559769
0.8800049,-1.345541,2.691083,9.406818,9.876266,17.736609,116.565048
0.8999938,-1.170765,2.698265,9.208099,9.666459,17.714882,113.455795
0.9199830,-1.139640,2.669535,9.327810,9.768993,17.285032,113.117920
0.9400024,-1.280898,2.719813,9.706094,10.161020,17.209703,115.218124
0.9599916,-1.436521,2.693477,9.792285,10.257059,17.314133,118.072487
0.9800110,-1.544260,2.688689,9.615114,10.102683,17.873091,119.871094
1.0000002,-1.551443,2.863465,9.651027,10.185712,18.647015,118.449104
1.0199891,-1.154005,2.935291,9.229648,9.753669,18.866522,111.462196
1.0400087,-1.034295,2.913743,8.937555,9.457250,19.082636,109.543396
1.0599976,-0.938527,2.947262,8.935161,9.455383,19.094322,107.663574
1.0799867,-0.775721,2.779668,9.244013,9.684011,17.337791,105.592812
1.1000061,-0.720655,2.444480,9.610326,9.942494,14.852035,106.425995
1.1199952,-0.785298,2.236184,9.730036,10.014530,13.689664,109.350136
1.1399843,-0.541090,2.276886,9.373300,9.661042,14.018819,103.368057
1.1600037,-0.538695,2.542642,8.832211,9.206691,16.397722,101.962051
1.1799926,-0.241814,2.738967,8.992621,9.403598,17.001745,95.045372
1.2202591,-0.071826,2.573767,8.841787,9.209052,16.235798,91.598534
1.2258139,-0.126893,2.425326,9.062054,9.381851,15.002800,92.994972
1.2308187,-0.306458,2.353500,9.176975,9.478911,14.500247,97.418945
1.2358238,-0.445322,2.312799,9.244013,9.539346,14.294236,100.898727
1.2408285,-0.474052,2.288857,9.263166,9.553525,14.162153,101.701256
1.2458334,-0.447716,2.351106,9.275137,9.578952,14.468980,100.781616
1.2508079,-0.404620,2.391808,9.263166,9.575527,14.674799,99.601776
1.2558126,-0.280122,2.329558,9.222465,9.516258,14.274125,96.856705
1.2608176,-0.136469,2.188300,9.176975,9.435261,13.437129,93.568527
1.2658224,0.021548,2.056619,9.109938,9.339225,12.722268,89.399719
1.2708274,0.031125,2.020706,9.064447,9.287004,12.568703,89.117554
1.2758323,-0.021548,2.078167,9.030929,9.266980,12.959800,90.594063
1.2808372,-0.090980,2.217031,9.004593,9.273952,13.842937,92.349915
1.2858114,-0.155623,2.403779,9.009381,9.325842,14.968884,93.704216
1.2908163,-0.136469,2.624045,9.035717,9.410017,16.214457,92.977119
1.2958213,-0.129287,2.738967,9.057265,9.463229,16.843273,92.702515
1.3008262,-0.158017,2.798822,9.129091,9.549800,17.070206,93.231407
1.3058310,-0.213084,2.856283,9.217676,9.652425,17.261650,94.266464
1.3108360,-0.385466,2.880225,9.349358,9.790545,17.265930,97.622719
1.3158104,-0.478840,2.849100,9.437943,9.870230,17.019920,99.540382
1.3208153,-0.545878,2.832341,9.504981,9.933016,16.881407,100.908875
1.3258200,-0.538695,2.748544,9.521740,9.925130,16.391323,101.089012
1.3308250,-0.397437,2.659958,9.526528,9.898893,15.765208,98.497978
1.3358299,-0.272939,2.619257,9.504981,9.863046,15.485863,95.949020
1.3408347,-0.177171,2.573767,9.485827,9.830391,15.214714,93.937866
1.3458090,-0.122104,2.516306,9.423578,9.754513,14.967232,92.778114
1.3508139,-0.028730,2.504335,9.330204,9.660499,15.025672,90.657288
1.3558189,0.067038,2.477999,9.155427,9.485085,15.150062,88.450348
1.3608238,0.117316,2.494758,8.968679,9.309930,15.560971,87.307655
1.3658285,0.071826,2.485181,8.779537,9.124777,15.811235,88.344513
1.3708335,0.052672,2.470816,8.621520,8.968740,15.995057,88.778763
1.3758080,0.040701,2.533065,8.497022,8.866649,16.601994,89.079445
1.3808126,0.062249,2.554613,8.425196,8.804194,16.872608,88.604126
1.3858175,0.105345,2.583344,8.346188,8.737483,17.211988,87.664856
1.3908225,-0.011971,2.645593,8.310274,8.721236,17.659151,90.259254
1.3958274,-0.138864,2.712631,8.377312,8.806645,17.964298,92.930504
1.4008323,-0.512359,2.382231,8.274361,8.625693,16.409115,102.138008
1.4058372,-0.435745,2.497152,8.271967,8.651652,17.037321,99.898262
1.4108113,-0.490811,2.633622,8.087613,8.519762,18.327099,100.556747
1.4158163,-0.251391,2.729390,8.010999,8.466928,18.888245,95.262398
1.4208212,0.019154,2.885013,8.233660,8.724496,19.310478,89.619621
1.4258262,0.160412,2.952051,8.437167,8.940141,19.310583,86.889664
1.4308311,0.258574,2.971204,8.645462,9.145432,19.032946,85.026276
1.4358360,0.351948,2.935291,8.731653,9.218545,18.704798,83.162758
1.4408104,0.399832,2.956839,8.815451,9.306715,18.699333,82.299026
1.4458153,0.356736,2.961627,8.820239,9.311021,18.685705,83.131660
1.4508201,0.325611,2.856283,8.626308,9.092721,18.431046,83.496452
1.4558250,0.550666,2.430115,8.219295,8.588684,16.864971,77.232338
1.4608297,0.629675,2.243367,7.886500,8.223508,16.459753,74.321472
1.4658347,0.591368,2.243367,7.762002,8.101301,16.640987,75.232361
1.4708089,0.608127,2.226608,7.745243,8.081855,16.594570,74.724030
1.4758139,0.670376,2.183512,7.752425,8.081907,16.416595,72.932594
1.4808187,1.029507,2.044648,7.917625,8.241920,16.126055,63.274158
1.4858238,1.067814,1.939303,7.752425,8.062333,15.937661,61.162060
1.4908285,1.101333,1.884237,7.544129,7.853481,16.135004,59.693794
1.4958334,1.149217,1.819593,7.369353,7.677173,16.279724,57.724358
1.5008079,1.223437,1.848324,7.220912,7.553454,17.064528,56.498741
1.5058126,1.292869,1.891419,7.005434,7.370555,18.109877,55.645660
1.5108176,1.280898,1.802834,6.823475,7.172916,17.957909,54.606537
1.5158225,1.347936,1.587356,6.675035,6.992332,17.326717,49.663071
1.5208273,1.695095,1.395820,6.526594,6.886079,18.595152,39.469620
1.5258323,2.006341,1.242591,6.196194,6.630404,20.850502,31.771250
1.5308372,2.276886,1.206678,5.908890,6.446337,23.562075,27.922180
1.5358114,2.437297,1.300052,5.638345,6.278653,26.101223,28.075411
1.5408163,2.391808,1.395820,5.195418,5.887395,28.058891,30.267132
1.5458213,2.212242,1.407791,4.793192,5.463569,28.681574,32.471191
1.5508262,2.104503,1.412579,4.596867,5.249333,28.871485,33.870193
1.5558310,1.970428,1.532289,4.541800,5.182514,28.792446,37.870163
1.5608360,1.812411,1.640028,4.716578,5.312309,27.394653,42.141556
1.5658104,1.666364,1.805228,4.960786,5.535794,26.346182,47.290611
1.5708153,1.503559,1.886631,5.288792,5.813035,24.520084,51.446754
1.5758200,1.268927,1.912967,5.449203,5.912989,22.844051,56.442524
1.5808250,1.000776,1.980005,5.339070,5.781664,22.564421,63.186077
1.5858299,0.888249,1.987187,5.269638,5.701490,22.443520,65.915932
1.5908347,0.885855,1.280898,4.857835,5.101373,17.775423,55.332703
1.5958090,0.979228,1.407791,5.020641,5.305431,18.858273,55.178364
1.6008139,0.948104,1.290475,5.121197,5.365714,17.363670,53.695503
1.6058189,0.715866,1.132457,4.817134,4.999970,15.542386,57.701572
1.6108238,1.034295,0.940921,5.530606,5.704621,14.188231,42.293488
1.6158285,1.379060,0.775721,6.251261,6.448396,14.203870,29.357754
1.6208335,1.594538,0.667982,6.617573,6.839666,14.640951,22.729733
1.6258080,1.632846,0.792481,7.024588,7.255277,14.487106,25.889027
1.6308126,1.678335,0.981623,7.412448,7.663210,14.697861,30.322458
1.6358175,1.798046,1.247379,7.465121,7.779264,16.338221,34.750656
1.6408225,1.821988,1.419762,7.477092,7.825744,17.167084,37.927071
1.6458274,1.927332,1.527501,7.517793,7.909809,18.114096,38.398464
1.6508323,2.023100,1.520318,7.402872,7.823478,18.872995,36.924103
1.6558372,2.066196,1.434127,7.455544,7.868356,18.641844,34.764145
1.6608113,1.762132,1.395820,7.922413,8.235171,15.841251,38.383434
1.6658163,1.412579,1.635240,7.955932,8.244164,15.195299,49.178360
1.6708212,1.031901,1.869871,7.982268,8.263041,14.979009,61.107601
1.6758261,0.735020,1.956063,7.960721,8.230401,14.707709,69.405540
1.6808311,0.641646,1.862689,7.778761,8.024366,14.212316,70.992554
1.6858360,0.531513,1.695095,7.484274,7.692218,13.352659,72.590698
1.6908104,0.411803,1.498770,7.086837,7.255284,12.370477,74.636513
1.6958153,0.363919,1.340753,6.641516,6.785262,11.814697,74.814163
1.7008201,0.361524,1.225831,6.069301,6.202401,11.891196,73.568062
1.7058250,0.375890,1.216254,5.736507,5.876060,12.512002,72.825966
1.7108297,0.373495,1.242591,5.571307,5.720401,13.109989,73.270378
1.7158347,0.332794,1.319205,5.707777,5.867689,13.407131,75.841484
1.7208089,0.131681,1.448492,6.272809,6.439223,13.054390,84.805573
1.7258139,-0.079009,1.491588,7.103596,7.258936,11.874627,93.032097
1.7308187,-0.493206,1.616086,8.042124,8.217710,11.865429,106.971413
1.7358238,-1.031901,1.783680,8.882488,9.118384,13.061102,120.050385
1.7408285,-1.709460,2.111686,9.789890,10.159893,15.510377,128.990997
1.7458334,-2.106898,2.272097,10.228029,10.687096,16.854372,132.839508
1.7508079,-2.312799,2.327164,10.354922,10.862281,17.580843,134.822617
1.7558126,-2.415750,2.250550,10.089166,10.615653,18.120476,137.027588
1.7608176,-2.549825,1.874660,9.686940,10.190818,18.092619,143.676254
1.7658225,-2.738967,1.539472,9.129091,9.654648,18.991936,150.661270
1.7708273,-2.293645,1.359907,8.956709,9.345201,16.578707,149.336212
1.7758323,-1.927332,1.216254,8.513782,8.813533,14.985865,147.745789
1.7808372,-1.774103,1.067814,7.711724,7.984883,15.029940,148.956711
1.7858114,-1.908179,0.995988,6.806715,7.138943,17.548399,152.437363
1.7908163,-2.173935,0.952892,6.287174,6.720309,20.683081,156.330917
1.7958213,-2.425326,1.007959,6.143522,6.681396,23.147375,157.432358
1.8008262,-2.461239,1.051055,6.359000,6.899224,22.824436,156.875443
1.8058310,-2.303222,1.067814,6.943185,7.392758,20.084482,155.126740
1.8108360,-2.118869,1.101333,7.723695,8.084430,17.180477,152.535767
1.8158103,-2.039860,1.125275,8.724471,9.030153,14.950575,151.116974
1.8208153,-2.135628,1.098939,9.600749,9.896613,14.045214,152.770828
1.8258200,-2.135628,1.024718,10.216059,10.487079,13.054209,154.367355
1.8308249,-1.821988,0.972046,10.785878,10.981789,10.838704,151.919693
1.8358299,-1.584962,1.103727,11.116279,11.282817,9.856463,145.147629
1.8408347,-1.731008,1.283292,11.338940,11.541871,10.760002,143.448410
1.8458090,-2.123657,1.505953,11.468226,11.760018,12.790059,144.658325
