Keuwl Accelerometer Data File
2023-11-03 02:24:32

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.169988,0.459687,9.806650,9.818890,2.861086,110.293976
0.0049744,-0.210690,0.577003,9.847352,9.866492,3.569467,110.059425
0.0099793,-0.229843,0.648829,9.892841,9.916759,3.980199,109.506363
0.0149842,-0.229843,0.687136,9.919178,9.945606,4.177858,108.494820
0.0199889,-0.203507,0.742203,9.844957,9.874991,4.469797,105.333282
0.0249938,-0.184354,0.744597,9.708488,9.738744,4.517570,103.906128
0.0299988,-0.191536,0.737414,9.646238,9.676279,4.515965,104.560272
0.0349732,-0.215478,0.711078,9.612720,9.641392,4.419826,106.858398
0.0399781,-0.203507,0.723049,9.605537,9.634862,4.471375,105.719627
0.0449830,-0.181959,0.634463,9.610326,9.632965,3.928947,106.002495
0.0499877,-0.107739,0.565032,9.643845,9.660984,3.413403,100.795456
0.0549926,-0.057461,0.488417,9.677363,9.689851,2.909124,96.709839
0.0599975,-0.028730,0.409408,9.686940,9.695630,2.426000,94.014175
0.0649719,-0.004788,0.320823,9.725247,9.730539,1.889688,90.855095
0.0699768,0.026336,0.258574,9.710882,9.714359,1.533018,84.184372
0.0749818,0.055067,0.205901,9.722853,9.725188,1.255697,75.027122
0.0799865,0.064643,0.138864,9.758766,9.759969,0.899399,65.037209
0.0849914,0.059855,0.102951,9.792285,9.793009,0.696612,59.826477
0.0899963,0.050278,0.114922,9.830592,9.831392,0.730881,66.370621
0.0950011,-0.004788,0.160412,9.840169,9.841477,0.934399,91.709816
0.0999756,-0.064643,0.239420,9.840169,9.843293,1.443607,105.109573
0.1049805,-0.165200,0.363919,9.871294,9.879381,2.318493,114.415550
0.1099855,-0.253785,0.505177,9.864111,9.880299,3.280203,116.673569
0.1149902,-0.265756,0.574608,9.844957,9.865293,3.679456,114.820541
0.1199951,-0.299275,0.644040,9.892841,9.918300,4.106084,114.923538
0.1250000,-0.306458,0.679953,9.914390,9.942403,4.302066,114.261292
0.1299744,-0.299275,0.706290,9.895236,9.924923,4.432659,112.963776
0.1349793,-0.268151,0.696713,9.876082,9.904258,4.322776,111.050705
0.1399842,-0.232238,0.687136,9.876082,9.902681,4.200392,108.674179
0.1449889,-0.222661,0.699107,9.868899,9.896135,4.251832,107.666321
0.1499938,-0.198719,0.660800,9.866506,9.890605,4.000516,106.737328
0.1549988,-0.167594,0.586579,9.856929,9.875789,3.541548,105.945396
0.1599731,-0.136469,0.536301,9.864111,9.879622,3.210954,104.276726
0.1649781,-0.098162,0.490811,9.871294,9.883976,2.902792,101.309929
0.1699830,-0.098162,0.421380,9.852140,9.861636,2.514583,103.113434
0.1749879,-0.112527,0.375890,9.753978,9.761867,2.303588,106.665756
0.1799926,-0.158017,0.411803,9.677363,9.687409,2.609545,110.992851
0.1849975,-0.172383,0.474052,9.588778,9.602036,3.011359,109.983109
0.1899719,-0.177171,0.507571,9.519346,9.534514,3.232284,109.241882
0.1949768,-0.165200,0.588974,9.500193,9.519866,3.684136,105.668159
0.1999815,-0.160412,0.641646,9.533711,9.556625,3.968472,104.036247
0.2049865,-0.150835,0.653617,9.581595,9.605047,4.004626,102.994614
0.2099914,-0.172383,0.663194,9.660604,9.684875,4.057289,104.570343
0.2149963,-0.217872,0.667982,9.718064,9.743431,4.135312,108.064507
0.2200012,-0.258574,0.651223,9.811439,9.836426,4.084805,111.655991
0.2249756,-0.296881,0.629675,9.844957,9.869539,4.044720,115.243080
0.2299805,-0.308852,0.639252,9.842564,9.868135,4.125687,115.787331
