Keuwl Accelerometer Data File
2023-11-03 09:58:31

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.259654,-0.063693,0.127653,-0.091431,-0.794380,-1.507553
0.0050049,0.266836,-0.102000,0.173143,-0.123988,-1.084976,-1.549599
0.0100098,0.233317,-0.128336,0.254546,-0.139684,-1.577095,-1.351471
0.0150145,0.199798,-0.102000,0.288064,-0.108937,-1.750763,-1.154564
0.0200195,0.151914,-0.063693,0.271305,-0.072743,-1.623817,-0.875183
0.0250244,0.113607,-0.030174,0.194691,-0.048787,-1.156929,-0.653549
0.0299988,0.058541,-0.018203,0.156383,-0.040553,-0.927147,-0.333061
0.0350037,-0.001314,-0.073270,0.137230,-0.096022,-0.853798,0.025421
0.0400086,-0.061170,-0.090029,0.082163,-0.117213,-0.544617,0.380127
0.0450135,-0.128207,-0.078058,0.041462,-0.107357,-0.298920,0.771240
0.0500182,-0.156938,-0.075664,-0.025576,-0.110865,0.092567,0.939209
0.0550231,-0.164120,-0.042145,-0.054306,-0.080132,0.279129,0.972580
0.0599975,-0.152149,-0.011020,-0.097402,-0.053884,0.545761,0.894745
0.0650025,-0.135390,0.008134,-0.188382,-0.043715,1.081261,0.792458
0.0700074,-0.097083,0.046441,-0.214718,-0.009282,1.251076,0.561264
0.0750123,-0.030045,0.056018,-0.260208,-0.005651,1.516518,0.170914
0.0800170,0.087271,0.010528,-0.243448,-0.052547,1.397675,-0.503998
0.0850219,0.058541,-0.046933,-0.293727,-0.113139,1.663933,-0.329407
0.0899963,-0.056381,0.020104,-0.375129,-0.048901,2.165665,0.330406
0.0950012,-0.214398,0.127844,-0.413437,0.062544,2.428551,1.217903
0.1000061,-0.367627,0.216429,-0.413437,0.159412,2.462685,2.064850
0.1050111,-0.391569,0.194881,-0.372735,0.142079,2.224419,2.208992
0.1100158,-0.331714,0.111084,-0.312880,0.058977,1.848686,1.897079
0.1150207,-0.267071,0.063200,-0.231477,0.013810,1.359055,1.540535
