Keuwl Accelerometer Data File
2023-11-03 01:51:20

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.264843,-0.330610,0.451651,0.396793,-2.051849,-19.514877
0.0199892,0.693406,-0.263572,0.018300,0.008578,0.261456,-31.849586
0.0400086,0.734107,-0.163016,-0.269004,-0.261669,1.073023,-29.759563
0.0599975,0.425255,-0.347369,-0.185206,-0.226054,-1.097172,-26.548058
0.0799867,0.058942,-0.548482,0.061396,-0.017715,-3.570496,-17.673046
0.1000061,-0.000913,-0.627491,0.238567,0.152406,-4.216110,-17.678356
0.1199951,0.238507,-0.615520,0.183500,0.109888,-3.177497,-31.179688
0.1400147,0.358217,-0.517358,0.157165,0.097198,-2.268828,-31.173470
0.1600037,0.408496,-0.445532,0.061396,0.010389,-1.721262,-29.848831
0.1799926,0.377371,-0.438349,-0.046343,-0.098704,-1.763999,-28.384922
0.2000122,0.281603,-0.402436,-0.029584,-0.086381,-2.025561,-22.977879
0.2200012,0.300756,-0.502993,0.049425,-0.013275,-2.407933,-28.169079
0.2399902,0.420467,-0.479051,0.233779,0.180587,-1.895384,-31.728134
0.2600098,0.348641,-0.512569,0.128433,0.068184,-2.278001,-30.575554
0.2799988,0.269632,-0.488627,-0.053526,-0.116968,-2.426663,-26.144714
0.2998094,0.226536,-0.471868,-0.015219,-0.080478,-2.554189,-23.388954
0.3198289,0.291180,-0.481445,0.068579,0.006514,-2.373367,-26.766685
0.3398178,0.315122,-0.471868,0.133222,0.073132,-2.269651,-27.354595
0.3598374,0.315122,-0.522146,0.032665,-0.030145,-2.410248,-29.678566
0.3798264,0.329487,-0.471868,0.030272,-0.028324,-2.150238,-27.947685
0.3998154,0.324698,-0.455108,0.027877,-0.029931,-2.102393,-27.014420
0.4198350,0.310333,-0.455108,0.015906,-0.042858,-2.156270,-26.416046
0.4398240,0.334275,-0.452714,0.109280,0.051924,-2.099093,-27.302391
0.4598129,0.319910,-0.486233,0.099703,0.039172,-2.287190,-28.200165
0.4798325,0.312727,-0.457503,0.090126,0.031017,-2.198176,-26.620972
0.4998215,0.382159,-0.428772,0.042242,-0.009562,-1.759935,-28.165516
0.5198106,0.327093,-0.469474,0.001541,-0.056931,-2.134489,-27.743397
0.5398301,0.260055,-0.412013,0.037454,-0.021785,-2.191041,-22.405151
0.5598190,0.298362,-0.514964,0.090126,0.026348,-2.487131,-28.631489
0.5798082,0.255267,-0.524540,0.090126,0.022922,-2.709891,-27.188297
0.5998276,0.255267,-0.493416,0.049425,-0.015693,-2.562277,-25.714020
0.6198165,0.351035,-0.467079,0.003935,-0.052643,-2.022510,-28.601231
0.6398362,0.401313,-0.392859,0.106886,0.058785,-1.576295,-27.424240
0.6598252,0.379765,-0.452714,0.066184,0.012419,-1.878045,-29.088154
0.6798141,0.226536,-0.491022,-0.008036,-0.074574,-2.640100,-24.255627
0.6998337,0.197806,-0.548482,-0.003247,-0.075047,-3.002672,-25.614784
0.7198227,0.221748,-0.517358,0.133222,0.064211,-2.842206,-25.262623
0.7398116,0.343852,-0.467079,0.176318,0.118377,-2.152832,-28.315807
0.7598312,0.372583,-0.483839,0.018300,-0.037827,-2.000314,-30.182812
0.7798203,0.274420,-0.412013,-0.065496,-0.123298,-2.074730,-23.048347
0.7998094,0.312727,-0.471868,0.011118,-0.048577,-2.211271,-27.254452
0.8198289,0.291180,-0.510175,0.109280,0.045228,-2.509700,-28.096214
0.8398178,0.303151,-0.481445,0.171530,0.109826,-2.379064,-27.280281
0.8598374,0.319910,-0.488627,0.025483,-0.034863,-2.255132,-28.309208
0.8798264,0.262449,-0.433561,-0.048738,-0.108953,-2.225959,-23.403492
0.8998153,0.303151,-0.467079,0.011118,-0.048927,-2.232607,-26.637337
0.9198350,0.260055,-0.476656,0.109280,0.045300,-2.505134,-25.168728
0.9398240,0.317516,-0.467079,0.173923,0.114127,-2.263174,-27.241810
0.9598128,0.298362,-0.474262,0.073367,0.012236,-2.316800,-26.752697
0.9798325,0.267238,-0.447926,-0.070285,-0.131087,-2.256061,-24.229977
0.9998215,0.267238,-0.445532,-0.020007,-0.080873,-2.274273,-24.127220
1.0198107,0.295968,-0.479051,0.073367,0.011761,-2.346171,-26.865112
1.0398301,0.341458,-0.445532,0.154770,0.098194,-2.066333,-27.283562
1.0598190,0.324698,-0.502993,0.102098,0.040836,-2.332751,-29.168152
1.0798082,0.228930,-0.476656,0.030272,-0.035340,-2.589355,-23.717609
1.0998276,0.252872,-0.498204,-0.012824,-0.078145,-2.558874,-25.826118
1.1198165,0.281603,-0.481445,0.037454,-0.025120,-2.396667,-26.348751
1.1398361,0.379765,-0.431166,0.118856,0.066289,-1.826031,-28.174438
1.1598251,0.406101,-0.443137,0.092521,0.041316,-1.741874,-29.660160
